Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.6682054999982938
90.0,2,0,0.7210302999883424
0.0,2,0,0.5740662000025623
0.0,2,0,0.4604752000013832
90.0,2,0,0.3915427999745589
45.0,0,0,0.5991003999952227
0.0,0,0,0.5203197000082582
90.0,0,0,0.7663629000016954
90.0,0,0,0.4284423000062816
90.0,2,0,0.4522428000054788
45.0,0,0,0.4509371000167448
45.0,0,0,0.5777923999994528
90.0,0,0,0.6095750999811571
90.0,0,0,0.5736487999965902
45.0,2,0,0.5340737999940757
90.0,2,0,0.647687999997288
45.0,0,0,0.6610372000141069
45.0,2,0,0.8182435999915469
45.0,0,0,0.5214092000096571
90.0,2,0,0.47808440000517294
