Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.4483204999996815
90.0,2,0,0.4478854000044521
0.0,2,0,0.4432939999969676
90.0,0,0,0.4611287000006996
90.0,2,0,0.4163352999894414
0.0,2,0,0.33023300001514144
90.0,0,0,0.44649539998499677
90.0,0,0,0.43271999998250976
0.0,0,0,0.44085670000640675
90.0,2,0,0.3340197000070475
0.0,2,0,0.2864887999894563
90.0,2,0,0.4893545999948401
0.0,0,0,0.3503950000158511
0.0,0,0,0.4982973000151105
0.0,0,0,0.5265033999748994
0.0,2,0,0.33754000000772066
90.0,0,0,0.44347369999741204
90.0,0,0,0.4202404000097886
90.0,0,0,0.3169736999843735
90.0,2,0,0.35641779997968115
0.0,2,0,0.37096410000231117
0.0,2,0,0.44810880001750775
0.0,0,0,0.37999929999932647
0.0,0,0,0.3358464000048116
0.0,0,0,0.36685200000647455
0.0,2,0,0.44872149999719113
90.0,0,0,0.4331705999793485
0.0,2,0,0.44598940000287257
0.0,2,0,0.479495700012194
90.0,0,0,0.3632545000000391
